ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
012587307|0|0|F||Y|N|CDCI|2014-04-29 19:31:22.0|CDCI|2014-04-29 19:31:21.0|1||0|0||01
012581838|0|0|F||Y|N|CDCI|2014-04-29 16:30:34.0|CDCI|2014-04-29 16:30:33.0|1||0|0||01
012581841|0|0|F||Y|N|CDCI|2014-04-29 16:30:39.0|CDCI|2014-04-29 16:30:38.0|1||0|0||01
012554055|0|0|F||Y|N|CDCI|2014-04-26 20:23:48.0|CDCI|2014-04-26 20:23:47.0|1||0|0||01
012567423|0|0|F||Y|N|CDCI|2014-04-27 10:41:34.0|CDCI|2014-04-27 10:41:33.0|1||0|0||01
012567426|0|0|F||Y|N|CDCI|2014-04-27 10:41:40.0|CDCI|2014-04-27 10:41:39.0|1||0|0||01
012567565|0|0|F||Y|N|CDCI|2014-04-27 10:46:54.0|CDCI|2014-04-27 10:46:54.0|1||0|0||01
012581805|0|0|F||Y|N|CDCI|2014-04-29 16:29:26.0|CDCI|2014-04-29 16:29:26.0|1||0|0||01
012538599|0|0|F||Y|N|CDCI|2014-04-26 11:01:22.0|CDCI|2014-04-26 11:01:22.0|1||0|0||01
012540320|0|0|F||Y|N|CDCI|2014-04-26 11:46:32.0|CDCI|2014-04-26 11:46:31.0|1||0|0||01
012554071|0|0|F||Y|N|CDCI|2014-04-26 20:24:29.0|CDCI|2014-04-26 20:24:28.0|1||0|0||01
012554092|0|0|F||Y|N|CDCI|2014-04-26 20:25:15.0|CDCI|2014-04-26 20:25:14.0|1||0|0||01
012567380|0|0|F||Y|N|CDCI|2014-04-27 10:40:04.0|CDCI|2014-04-27 10:40:04.0|1||0|0||01
012567666|0|0|F||Y|N|CDCI|2014-04-27 10:50:57.0|CDCI|2014-04-27 10:50:56.0|1||0|0||01
012554126|0|0|F||Y|N|CDCI|2014-04-26 20:26:26.0|CDCI|2014-04-26 20:26:26.0|1||0|0||01
012554117|0|0|F||Y|N|CDCI|2014-04-26 20:26:05.0|CDCI|2014-04-26 20:26:04.0|1||0|0||01
012554144|0|0|F||Y|N|CDCI|2014-04-26 20:27:14.0|CDCI|2014-04-26 20:27:13.0|1||0|0||01
012581962|0|0|F||Y|N|CDCI|2014-04-29 16:34:50.0|CDCI|2014-04-29 16:34:49.0|1||0|0||01
012567826|0|0|F||Y|N|CDCI|2014-04-27 10:58:23.0|CDCI|2014-04-27 10:58:23.0|1||0|0||01
012567344|0|0|F||Y|N|CDCI|2014-04-27 10:38:46.0|CDCI|2014-04-27 10:38:45.0|1||0|0||01
012587272|0|0|F||Y|N|CDCI|2014-04-29 19:30:13.0|CDCI|2014-04-29 19:30:13.0|1||0|0||01
012567359|0|0|F||Y|N|CDCI|2014-04-27 10:39:22.0|CDCI|2014-04-27 10:39:21.0|1||0|0||01
012567448|0|0|F||Y|N|CDCI|2014-04-27 10:42:21.0|CDCI|2014-04-27 10:42:21.0|1||0|0||01
012567362|0|0|F||Y|N|CDCI|2014-04-27 10:39:27.0|CDCI|2014-04-27 10:39:26.0|1||0|0||01
012567721|0|0|F||Y|N|CDCI|2014-04-27 10:53:43.0|CDCI|2014-04-27 10:53:42.0|1||0|0||01
