SOL_ID|DEL_FLG|SOL_DESC|EXTN_CNTR_CODE|BANK_CODE|ABBR_BANK_NAME|BR_CODE|ABBR_BR_NAME|CLG_CENTRE_NUM|MICR_CENTRE_FLG|MICR_CENTRE_CODE|MICR_BANK_CODE|MICR_BRANCH_CODE|ADDR_1|ADDR_2|CITY_CODE|STATE_CODE|PIN_CODE|WKLY_OFF|INSTRMNT_ENCODE_BATCH_NUM|INSTRMNT_ENCODE_BLOCK_NUM|STOP_CASH_FT_FLG|STOP_CLG_FT_FLG|STOP_XFER_FT_FLG|USER_CASH_DR_LIM_EXCP_CODE|USER_CLG_DR_LIM_EXCP_CODE|USER_XFER_DR_LIM_EXCP_CODE|TDS_CERT_NUM_CODE|SAME_DAY_REV_TO_IBR_FLG|DATE_OF_INSTALLATION|DB_STAT_CODE|DB_INT_STAT_CODE|BOD_SYS_DATE|LAST_SI_EXEC_DATE|LCHG_USER_ID|RCRE_USER_ID|LCHG_TIME|RCRE_TIME|CUT_OVER_TIME|VALUE_DATING_ON_HOLIDAYS|TYPE_OF_CASH_ACCT|BR_STAT_CODE|HC_VAULT_LIMIT_IN_HC|FC_VAULT_LIMIT_IN_HC|CONSOL_VAULT_LIMIT_IN_HC|SOL_ALIAS|DB_STAT_USER_ID|ATM_JOB_STATUS|UNIFORM_BR_CODE|LICENSE_NO|BR_OPEN_DATE|REGION_NAME|DIVISION_NAME|CIRCLE_OFFICE_NAME|TDS_CIRCLE_NAME|DP_CODE|TAX_DEDN_DETAILS|PAN_GIR_NO|NUM_OF_TIMES_IBR_GEN|OSP_MAX_OUT_STD_DAYS|PROXY_PEND_VERIFN_EXCP_CODE|PROXY_NOT_SQUARED_EXCP_CODE|NEXT_CUST_NUM_CODE|INSTRMNT_WISE_REG_ALWD|HOME_CRNCY_CODE|DDN_WARN_LEVEL|DDN_WARN_LEVEL_EXCP_CODE|EXTERNAL_SOL|HIGH_VALUE_SOL|PROFIT_CENTER|ALL_EXT_TRANS_PROC_EXCP_CODE|TR_ENABLE_FLG|TR_HOME_CRNCY_CODE|TS_CNT|DESTRY_INVT_CLASS|DESTRY_INVT_LOCATION|EXT_EOD_NOT_COMP_EXCP_CODE|CS_SOL_MESG1|CS_SOL_MESG2|FAB_FLG|LOCAL_IMAGE_FLG|RECEIVE_ALL_IMAGES_FLG|SOL_PRIORITY|PDC_INSTL_RUN_DATE|SDL_ID|BRANCH_IP_ADDRESS|BRANCH_REF_PORT_NUM|LAST_INT_CALC_DATE_FOR_SB|SOL_EOD_STATUS|MINOR_AGE|CS_SOL_NATL_MESG1|CS_SOL_NATL_MESG2|BR_FREE_CODE_1|BR_FREE_CODE_2|BR_FREE_CODE_3|BR_FREE_CODE_4|BR_FREE_CODE_5|BR_FREE_CODE_6|BR_FREE_CODE_7|BR_FREE_CODE_8|BR_FREE_CODE_9|BR_FREE_CODE_10|REFERRAL_SET_ID|CTS_ENABLED_FLG|SOL_CLS_FLG|SOL_CLS_DATE|SOL_BOD_DATE|PREF_LANG_CODE|PREF_LANG_SOL_DESC|MENU_DISABLE_FLG|BANK_ID|WKLY_OFF2|TIME_ZONE|SOL_NAT_FLG|ALT1_SOL_DESC|BATCH_OPER_DATE|ENTITY_NAME|ADDR_3|CNTRY_CODE|PARTITION_ALIAS|REROUTE_STP_ALLOWED|SOL_RESTARTABILITY_FLG|MRS_NAME|TREA_FREE_TEXT1|TREA_FREE_TEXT2
0099|N|KURUNDWAD|00|176|RBL|0099|KUR|000|Y|416|176|527|123 BHAU SMRUTI,|NEAR PLAYGROUND KURUNDWAD|KURUN|MH|416106|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:41:40.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|099|||6160103-6080064||2011-03-30 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|38,103|DL|CAN||||N|N|N|0||ALL||0|||18||||608|4|SURBN|60|004||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C||||TAL SHIROL|IN|01||N|||
0100|N|CAPITOL POINT NEW DELHI|00|176|RBL|0100|CPT|000|Y|110|176|002|UNIT 14-15, DLF CAPITOL POINT|BABA KHARAK SINGH MARG, CONNAUGHT PLACE|NEWDE|DLI|110001|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:41:41.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|100|||6160104-2900009||2011-12-02 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|36,403|DL|CAN||||N|N|N|0||ALL||0|2014-05-08 00:00:00.0||18||||290|9|METRO|29|001||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0990|N|NOC MUMBAI|00|176|RBL|0990|COR|000|N||||9TH FLOOR, TECHNIPLEX COMPLEX|NEAR GOREGAON FLYOVER,  OFF S V ROAD|MUM|MH|400013|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:45:46.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|990|||6160080-6000009||2006-09-01 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|38,611|DL|CAN||||N|N|N|0||ALL||0|||18||||600|9|METRO|60|||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0991|N|MUMBAI SERVICE BRANCH|00|176|RBL|0991|MUM|000|Y|400|176|001|401 GROUND FLOOR, J B HOUSE|CHS, 19 R D STREET|MUM|MH|400001|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:45:52.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|991|||6160080-6000009||2008-11-18 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|37,076||||||N|N|N|0||ALL||0|||18||||600|9|METRO|60|||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0992|N|INTERNET BANKING BRANCH|00|176|RBL|0992|INT|000|N||||THE RATNAKAR BANK LTD|ADMN OFFICE|KOLHA|MH|416005|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:45:47.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|992|||||2006-09-01 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|35,075||||||N|N|N|0||ALL||0|||18||||600|9|METRO|60|||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0999|N|HEAD OFFICE|00|176|RBL|0999|HEA|000|N||||MAHAVEER|SHRI SHAHU MARKET YARD|KOLHA|MH|416 005|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:45:53.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|999|||6160014-6080007||1943-08-08 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|39,620||||||N|N|N|0||ALL||0|||18||||608|7|URBN|60|||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0993|N|TREASURY|00|176|RBL|0993|TRE|000|N||||ONE INDIA BULLS CENTRE|841, 6 FLOOR|MUM|MH|416 401|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:45:47.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|993|||6160088-6000009||2011-11-29 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|35,577||||||N|N|N|0||ALL||0|||18||||999|||60|||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C|||||IN|01||N|||
0101|N|DOD BALLARPUR|00|176|RBL|0101|DOD|000|N|560|176|004|KHATA NO 1762 / 66,WARD NO 4|D CROSS MAIN ROAD|DODDA|KRA|561203|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:41:42.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|101|||6160117-8420155||2011-11-29 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|38,233|DL|CAN||||N|N|N|0||ALL||0|||18||||842||SURBN|84|004||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C||||DOD BALLARPUR|IN|01||N|||
0102|N|VASHI|00|176|RBL|0102|VSH|000|N|400|176|022|ARTI CHS LTD|PLOT 29, SECTOR 2, VASHI,|MUM|MH|400703|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:41:43.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|102|||6160105-6010488|DBOD.NO.BL.9140/22.|2011-11-29 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|38,833|DL|CAN||||N|N|N|0||ALL||0|||18||||601|8|METRO|60|002||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C||||NAVI MUMBAI|IN|01||N|||
0103|N|BADLAPUR|00|176|RBL|0103|BAD|000|N|400|176|021|NISARGAPRATIKSHA APT, OLD KATRAP|BADLAPUR(EAST)|THAN|MH|421503|1|0|0||||OA3|OB3|OC3||N|2012-01-01 00:00:00.0|Y||2012-02-01 01:06:54.0||C11727|SYSTEM|2019-10-11 02:41:43.0|2012-02-01 01:06:54.0|1900-01-01 00:00:00.0|N|T||0|0|0|103|||6160107-6011375|DBOD.NO.BL.9140/22.|2011-11-29 00:00:00.0||||||||0|99|OD3|OE3||N|INR|0||N|N|N||N|INR|38,722|DL|CAN||||N|N|N|0||ALL||0|||18||||601|5|URBN|60|003||||||Y|Y|2019-10-13 00:00:00.0|2019-10-14 00:00:00.0|||N|01|0|IST|C||||TAL - AMBERNATH|IN|01||N|||
